lon,lat,x,y,x_boundary,gap_m
-140.874,58.645,-10751747.131,6195801.136,-13737896.004,2986148.874
-140.738,58.609,-10744924.856,6192225.852,-13742454.376,2997529.520
-140.602,58.573,-10738132.065,6188632.066,-13747032.827,3008900.762
-140.499,58.545,-10732989.178,6185886.599,-13750528.156,3017538.978
-140.183,58.442,-10718951.048,6175695.398,-13763484.880,3044533.831
-140.167,58.438,-10717996.814,6175381.520,-13763883.483,3045886.669
-139.985,58.343,-10713375.986,6165945.510,-13775854.029,3062478.043
-139.823,58.260,-10709133.164,6157710.139,-13786281.593,3077148.430
-139.590,58.152,-10701665.408,6147056.366,-13799743.866,3098078.458
-139.272,58.065,-10685710.322,6138444.870,-13810602.845,3124892.524
-139.257,58.061,-10684917.429,6138065.387,-13811080.902,3126163.474
-138.988,57.993,-10670892.673,6131295.060,-13819603.274,3148710.601
-138.561,57.919,-10645156.409,6123977.072,-13828800.952,3183644.544
-138.154,57.825,-10622957.833,6114572.493,-13840599.699,3217641.866
-137.768,57.741,-10601191.585,6106301.702,-13850956.047,3249764.462
-137.250,57.706,-10564687.357,6102788.878,-13855349.004,3290661.647
-136.951,57.617,-10550096.180,6093907.029,-13866441.137,3316344.957
-136.750,57.539,-10541929.951,6086184.730,-13876067.626,3334137.675
-136.700,57.458,-10545667.755,6078179.785,-13886029.231,3340361.476
-136.517,57.275,-10548697.160,6059932.120,-13908671.630,3359974.471
-136.300,57.125,-10545946.183,6044986.891,-13927148.297,3381202.114
-136.266,57.110,-10544679.000,6043488.475,-13928997.401,3384318.400
-136.267,56.907,-10563651.464,6023215.646,-13953954.342,3390302.878
-136.194,56.720,-10575354.921,6004547.953,-13976835.542,3401480.621
-135.947,56.237,-10600509.053,5956277.203,-14035557.605,3435048.553
-135.748,55.978,-10608648.251,5930275.256,-14066923.595,3458275.344
-135.501,55.707,-10613925.300,5903022.322,-14099598.563,3485673.264
-135.296,55.484,-10617972.942,5880582.857,-14126348.477,3508375.535
-135.073,55.261,-10620457.804,5858115.286,-14152992.418,3532534.614
-134.786,55.120,-10610437.326,5843921.346,-14169752.769,3559315.443
-135.124,55.010,-10646900.273,5832818.593,-14182824.106,3535923.833
-134.977,54.839,-10650506.011,5815533.653,-14203103.951,3552597.940
-134.850,54.815,-10642565.387,5813161.043,-14205881.350,3563315.963
-134.779,54.465,-10667876.040,5777725.216,-14247172.059,3579296.018
-134.604,54.477,-10652951.466,5778950.023,-14245750.913,3592799.447
-134.488,54.475,-10643958.333,5778749.996,-14245983.035,3602024.702
-134.300,54.245,-10649117.389,5755506.642,-14272876.061,3623758.672
-134.129,54.204,-10639170.106,5751331.785,-14277689.576,3638519.469
-134.064,54.133,-10640173.443,5744172.796,-14285931.646,3645758.203
-134.248,54.086,-10658940.749,5739342.019,-14291484.607,3632543.857
-133.888,53.827,-10652618.828,5713120.182,-14321503.442,3668884.615
-133.752,53.704,-10652472.513,5700565.854,-14335801.216,3683328.703
-133.646,53.404,-10669691.815,5670044.019,-14370356.832,3700665.017
-133.293,53.215,-10657462.702,5650869.629,-14391914.416,3734451.715
-133.040,52.962,-10658523.001,5625075.960,-14420726.728,3762203.727
-132.705,52.703,-10653241.576,5598649.528,-14450019.043,3796777.467
-132.222,52.403,-10639255.697,5567977.852,-14483723.259,3844467.562
-131.875,52.168,-10630540.240,5543891.258,-14509965.780,3879425.539
-131.839,52.032,-10638688.273,5530029.526,-14524976.833,3886288.560
-131.704,51.979,-10632051.005,5524603.016,-14530834.903,3898783.897
-131.539,52.009,-10616369.921,5527617.907,-14527581.524,3911211.603
-131.318,52.019,-10597606.365,5528727.493,-14526383.360,3928776.994
-130.850,51.612,-10592442.301,5486958.045,-14571185.435,3978743.134
-131.074,51.185,-10644339.699,5443094.878,-14617553.030,3973213.331
-130.753,50.908,-10639915.833,5414545.014,-14647349.201,4007433.367
-130.254,50.465,-10633309.699,5368908.343,-14694333.732,4061024.032
-130.329,50.298,-10652108.728,5351699.254,-14711841.347,4059732.620
-130.162,50.217,-10644557.406,5343369.030,-14720274.220,4075716.814
-130.300,50.055,-10668028.095,5326659.031,-14737107.116,4069079.020
-130.162,49.983,-10662174.843,5319147.203,-14744637.235,4082462.392
-130.457,49.487,-10723168.013,5267871.019,-14795451.699,4072283.686
-129.705,49.177,-10683943.544,5235733.020,-14826798.026,4142854.482
-128.872,48.798,-10642418.813,5196406.673,-14864661.532,4222242.718
-129.087,48.408,-10687754.654,5155939.651,-14903089.246,4215334.592
-128.940,48.324,-10681512.205,5147146.521,-14911371.156,4229858.951
-129.190,47.835,-10736247.919,5096336.545,-14958778.740,4222530.821
-128.938,47.727,-10722782.431,5085043.223,-14969216.504,4246434.073
-129.259,47.065,-10794813.159,5015956.232,-15032348.762,4237535.603
-129.620,46.455,-10866168.465,4952266.109,-15089560.037,4223391.572
-129.733,46.317,-10884911.751,4937785.161,-15102450.197,4217538.446
